product_id,category,price_usd,description,product_date,stock,technical_configuration
MSFT001,2-in-1 Tablet/PC,999,"Surface Pro 11 is a premium 2-in-1 device designed for productivity and mobility. It combines tablet portability with laptop-grade performance, making it suitable for professionals, students, and creatives who need flexibility.",2024-06-18,120,"Qualcomm Snapdragon X Elite processor optimized for AI workloads, 16GB LPDDR5X RAM, 512GB NVMe SSD, 13-inch PixelSense touchscreen with 2880x1920 resolution and 120Hz refresh rate, Wi-Fi 7, Bluetooth 5.4, Windows 11 Home"
MSFT002,2-in-1 Tablet/PC,1500,"Surface Pro 11 Business edition is built for enterprise users, offering enhanced security, manageability, and performance for corporate workloads and hybrid work scenarios.",2025-01-30,80,"Intel Core Ultra 7 processor with integrated AI NPU, 32GB RAM, 1TB SSD, 13-inch PixelSense display, TPM 2.0, BitLocker support, Windows 11 Pro"
MSFT003,Laptop,749,"Surface Laptop Go 3 is a lightweight and affordable laptop aimed at everyday productivity tasks such as browsing, document editing, and video conferencing.",2023-10-03,200,"Intel Core i5 processor, 8GB RAM, 256GB SSD, 12.4-inch PixelSense touchscreen, integrated Intel graphics, Windows 11"
MSFT004,Laptop,899,Surface Laptop 13-inch AI model introduces Copilot+ PC capabilities with long battery life and AI-accelerated performance for modern workloads.,2025-05-20,150,"Qualcomm Snapdragon X Plus processor with dedicated AI NPU, 16GB RAM, 256GB SSD, 13-inch high-resolution display, Wi-Fi 7, Windows 11 with Copilot+"
MSFT005,Tablet,579,Surface Go 4 is a compact and versatile tablet designed for frontline workers and light productivity use cases in education and business environments.,2023-10-03,180,"Intel N200 processor, 8GB RAM, 128GB SSD, 10.5-inch PixelSense display, LTE support optional, Windows 11"
MSFT006,All-in-One PC,3500,"Surface Studio 2 is an all-in-one desktop designed for creative professionals, offering a large high-resolution display and powerful graphics for design and media workloads.",2018-10-02,20,"Intel Core i7 processor, 32GB RAM, 2TB SSD, 28-inch PixelSense display at 4500x3000 resolution, NVIDIA GTX graphics, Windows 11"
MSFT007,All-in-One PC,4699,Surface Studio 2+ refresh enhances performance for creative and engineering workloads with improved CPU and GPU capabilities.,2022-10-12,15,"Intel Core i7-11370H processor, 32GB RAM, 2TB SSD, 28-inch PixelSense touchscreen, NVIDIA RTX 3060 GPU, Windows 11"
MSFT008,Laptop,1199,"Surface Laptop Pro 9 balances premium design with strong performance, suitable for developers, analysts, and business professionals.",2024-02-10,90,"Intel Core Ultra 7 processor, 16GB RAM, 512GB SSD, 14-inch PixelSense display, Thunderbolt 4 support, Windows 11"
MSFT009,Accessory,59,"Surface Slim Pen 2 is a digital pen designed for precise inking, drawing, and note-taking with Surface devices.",2024-11-05,500,"Bluetooth connectivity, haptic feedback for realistic writing feel, rechargeable battery, tilt and pressure sensitivity"
MSFT010,Accessory,49,Surface Keyboard is a wireless keyboard optimized for comfort and productivity with Surface devices.,2023-09-12,400,"Bluetooth wireless connectivity, full-size keys, spill-resistant design, long battery life"
MSFT011,Accessory,39,Surface Mouse offers ergonomic design and smooth tracking for everyday productivity use.,2024-03-18,450,"Bluetooth connectivity, ergonomic shape, precision tracking sensor, multi-device pairing support"
MSFT012,Console,649,"Xbox Series X is Microsoft’s flagship gaming console delivering high-performance gaming, fast load times, and support for next-generation graphics.",2025-10-03,300,"Custom AMD Zen 2 8-core CPU, 12 teraflops RDNA 2 GPU, 1TB NVMe SSD, 4K gaming support, HDMI 2.1"
MSFT013,Console,399,Xbox Series S is a compact digital-only console offering next-generation performance at an accessible price point.,2025-10-03,350,"Custom AMD CPU/GPU, 512GB SSD, 1440p gaming with upscaling to 4K, HDMI 2.1"
MSFT014,Handheld,599,Xbox Ally is a portable gaming handheld designed to deliver console-quality gaming on the go.,2025-12-01,250,"AMD Ryzen Z2 processor, 16GB RAM, 512GB SSD, 7-inch 1080p display with 120Hz refresh rate, Wi-Fi 6E"
MSFT015,Handheld,899,Xbox Ally X is the premium handheld variant offering higher performance and storage for enthusiast gamers.,2025-12-01,180,"AMD Ryzen Z2 Extreme processor, 24GB RAM, 1TB SSD, 7-inch 1080p 120Hz display, Wi-Fi 6E"
MSFT016,Accessory,29,Xbox Wireless Controller provides a comfortable and responsive gaming experience across Xbox consoles and PCs.,2024-11-01,600,"Bluetooth and Xbox Wireless connectivity, textured grip, rechargeable battery support"
MSFT017,Accessory,79,Xbox Wireless Headset is designed for immersive gaming audio and clear voice communication.,2024-10-15,380,"Spatial audio support, noise-isolating microphone, wireless and Bluetooth connectivity"
MSFT018,Laptop,1399,Surface Laptop 7 Intel edition targets power users who need strong CPU performance and enterprise readiness.,2025-02-18,85,"Intel Core Ultra 7 processor, 32GB RAM, 1TB SSD, 15-inch PixelSense display, Windows 11 Pro"
MSFT019,Laptop,1299,Surface Laptop 7 Snapdragon edition emphasizes AI acceleration and extended battery life.,2025-02-18,95,"Qualcomm Snapdragon X Plus processor with AI NPU, 16GB RAM, 512GB SSD, 13.8-inch PixelSense display"
MSFT020,Tablet,799,Surface Pro 12-inch is a compact Copilot+ PC designed for users who want portability without sacrificing performance.,2025-05-20,120,"Snapdragon X Plus processor, 16GB RAM, 512GB SSD, 12-inch PixelSense touchscreen, Windows 11"
